homeAway,fumblesRecovered,puntReturnYards,puntReturnTDs,puntReturns,firstDowns,thirdDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,points
1.0,-2.0,32.0,0.0,3.0,-4.0,0.3142857142857143,-55.0,-180.0,0.11217510259917929,1.2999999999999998,89.0,17.0,0.6000000000000001,0.0,0.0,2.0,-2.0,-10.0,1.0
1.0,0.0,3.0,0.0,4.0,4.0,-0.03007518796992481,76.0,87.0,0.12121212121212122,5.6,-23.0,0.0,-0.6000000000000005,0.0,0.0,0.0,0.0,-107.0,1.0
1.0,1.0,7.0,0.0,0.0,-2.0,-0.10256410256410253,-13.0,-109.0,-0.021390374331550777,-0.10000000000000053,98.0,6.0,2.7,0.0,-1.0,-1.0,0.0,-203.0,1.0
1.0,1.0,-40.0,0.0,-1.0,2.0,-0.14705882352941174,130.0,-151.0,-0.05555555555555558,1.0999999999999996,267.0,34.0,4.1,0.0,-1.0,-1.0,0.0,378.0,1.0
1.0,-1.0,?,?,?,-4.0,-0.15000000000000002,-154.0,41.0,-0.01851851851851849,-0.30000000000000027,-196.0,-31.0,-1.5,0.0,2.0,1.0,1.0,-510.0,0.0
1.0,-1.0,?,?,?,-3.0,-0.06722689075630256,-51.0,-60.0,-0.18207282913165268,-2.0999999999999996,-18.0,-11.0,0.19999999999999973,0.0,1.0,1.0,0.0,-339.0,0.0
1.0,-1.0,-11.0,0.0,3.0,2.0,-0.1875,71.0,-292.0,-0.08597285067873306,-4.2,331.0,27.0,6.0,0.0,4.0,1.0,3.0,-71.0,0.0
1.0,0.0,53.0,1.0,-2.0,4.0,-0.13194444444444442,-39.0,115.0,0.08780487804878045,0.7999999999999998,-171.0,-19.0,-2.3000000000000003,0.0,2.0,0.0,2.0,120.0,1.0
1.0,0.0,?,?,?,13.0,?,236.0,186.0,0.37962962962962965,4.9,70.0,1.0,1.8000000000000003,-77.0,-2.0,0.0,-2.0,179.0,1.0
1.0,1.0,-68.0,-1.0,-3.0,1.0,-0.12184873949579833,14.0,30.0,-0.17236024844720493,1.2000000000000002,-40.0,4.0,-1.2999999999999998,0.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,-47.0,0.0,-2.0,-2.0,0.08169934640522875,-82.0,-68.0,0.05606407322654461,2.0,-23.0,12.0,-1.7000000000000002,0.0,0.0,0.0,0.0,106.0,1.0
1.0,0.0,48.0,0.0,3.0,11.0,0.2523809523809524,176.0,198.0,0.06630824372759847,4.1000000000000005,-6.0,8.0,-0.8999999999999999,0.0,1.0,0.0,1.0,466.0,1.0
1.0,-1.0,-43.0,0.0,-2.0,-3.0,0.14999999999999997,33.0,12.0,0.09362745098039216,2.3000000000000007,4.0,15.0,-0.8000000000000003,0.0,0.0,1.0,-1.0,369.0,1.0
1.0,0.0,-28.0,0.0,-2.0,3.0,0.04411764705882354,22.0,182.0,0.2575187969924812,2.9000000000000004,-121.0,0.0,-3.7,0.0,0.0,0.0,0.0,99.0,0.0
1.0,-2.0,2.0,0.0,0.0,3.0,-0.125,-66.0,91.0,-0.1028138528138528,0.7000000000000002,-121.0,-7.0,-2.5,0.0,4.0,2.0,2.0,-241.0,0.0
1.0,0.0,?,?,?,5.0,0.4,68.0,-108.0,-0.03603603603603611,0.5999999999999996,175.0,-2.0,5.300000000000001,0.0,0.0,0.0,0.0,-583.0,1.0
1.0,-2.0,21.0,0.0,5.0,1.0,0.20392156862745098,49.0,133.0,-0.017241379310344807,3.000000000000001,-84.0,-1.0,-1.6999999999999997,0.0,4.0,2.0,2.0,-122.0,0.0
1.0,3.0,159.0,0.0,4.0,5.0,-0.16666666666666669,155.0,13.0,0.09090909090909083,6.6,136.0,17.0,1.0999999999999996,0.0,-5.0,-3.0,-2.0,190.0,1.0
1.0,1.0,64.0,1.0,-1.0,2.0,0.03308823529411764,78.0,-104.0,-0.1607142857142857,2.8000000000000007,176.0,25.0,1.6999999999999997,0.0,-1.0,-1.0,0.0,313.0,1.0
1.0,-1.0,6.0,0.0,1.0,7.0,-0.11904761904761904,16.0,134.0,-0.11857707509881421,-10.6,-109.0,-13.0,-1.2999999999999998,0.0,2.0,1.0,1.0,50.0,0.0
1.0,2.0,21.0,0.0,5.0,12.0,-0.004273504273504258,251.0,198.0,0.12792207792207794,3.500000000000001,46.0,-3.0,1.6999999999999997,0.0,-4.0,-2.0,-2.0,-49.0,1.0
1.0,2.0,5.0,0.0,-1.0,0.0,0.14999999999999997,-16.0,-106.0,0.022071307300509324,-1.3999999999999995,61.0,20.0,0.20000000000000018,0.0,-4.0,-2.0,-2.0,370.0,1.0
1.0,0.0,-26.0,0.0,-2.0,0.0,0.02197802197802201,25.0,-39.0,-0.027407407407407436,3.5,65.0,12.0,0.2999999999999998,0.0,-3.0,0.0,-3.0,-35.0,1.0
1.0,1.0,?,?,?,-4.0,?,74.0,190.0,0.09999999999999998,6.9,-103.0,-32.0,1.5,-10.0,-2.0,-1.0,-1.0,-579.0,1.0
1.0,1.0,-9.0,0.0,-2.0,-11.0,-0.2142857142857143,-94.0,-3.0,0.11904761904761907,3.9000000000000004,-81.0,-6.0,-1.8000000000000003,0.0,-1.0,-1.0,0.0,-146.0,0.0
1.0,-1.0,9.0,0.0,2.0,10.0,0.02197802197802201,148.0,-50.0,0.2384615384615384,-2.3,179.0,4.0,3.8000000000000007,0.0,0.0,1.0,-1.0,-11.0,1.0
1.0,1.0,27.0,1.0,-2.0,-10.0,-0.10256410256410253,-170.0,-113.0,0.0357142857142857,1.2999999999999998,-63.0,-6.0,-0.7999999999999998,0.0,-4.0,-1.0,-3.0,41.0,1.0
1.0,1.0,-24.0,0.0,-4.0,-1.0,0.1111111111111111,-12.0,87.0,-0.08203991130820393,-1.7000000000000002,-71.0,-18.0,-0.8000000000000003,0.0,-1.0,-1.0,0.0,-366.0,0.0
1.0,-1.0,20.0,0.0,2.0,5.0,0.07894736842105265,200.0,99.0,0.14210526315789473,8.5,63.0,-5.0,2.3000000000000003,0.0,0.0,1.0,-1.0,-470.0,1.0
1.0,-1.0,18.0,0.0,0.0,-1.0,-0.09523809523809523,-53.0,-20.0,0.023602484472049712,4.0,-61.0,3.0,-2.1,0.0,1.0,1.0,0.0,-131.0,1.0
1.0,1.0,68.0,0.0,0.0,-3.0,-0.2472527472527473,-22.0,-3.0,-0.18333333333333335,-1.8000000000000007,-24.0,-10.0,-0.19999999999999996,0.0,-1.0,-1.0,0.0,-213.0,0.0
1.0,1.0,?,?,?,-22.0,-0.3492063492063492,-262.0,-310.0,-0.35,-6.9,43.0,-25.0,5.7,0.0,-2.0,-1.0,-1.0,-700.0,0.0
